ordem_prioridade,lote_leitura,id_unico,doi,titulo,ano,eixo_tematico_preliminar,metodo_mcdm_especifico,tecnologia_especifica,necessita_leitura_completa
1053,11,REG_06201,10.1016/j.autcon.2024.105639,BIM interoperability for small residential construction integrating warranty and maintenance management,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1054,11,REG_07280,NA,Exploring Digital Risk Management for Building Life Cycle Phases,2023,gestao_predial_sustentabilidade_geral,,,sim
1055,11,REG_06690,10.1201/9781003317890-4,Retrofitting Solutions towards Net-Zero Buildings,2024,gestao_predial_biossistemica_conceitual,,,sim
1056,11,REG_07241,10.1109/iceeict56924.2023.10157626,Facilities Management Information System with Data Analytics and Visualization,2023,gestao_predial_sustentabilidade_geral,,,sim
1057,11,REG_06544,10.1007/978-3-031-64359-0_34,A User-Friendly Web-Based Interface for Integrated Life-Cycle Cost Analysis and 3D Asset Visualisation in Real Estate Management,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),Data-driven,sim
1058,11,REG_06336,10.1016/j.enbuild.2024.114208,BIM to BREEAM: A workflow for automated daylighting assessment of existing buildings,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1059,11,REG_07020,10.3390/app131810418,Financial Loss Assessment for Weather-Induced Railway Accidents Based on a Deep Learning Technique Using Weather Indicators,2023,gestao_predial_sustentabilidade_geral,,,sim
1060,11,REG_07506,10.1007/978-3-031-24751-4_3,Financing Mosque Maintenance in Muslim-Minority Communities,2023,gestao_predial_sustentabilidade_geral,,,sim
1061,11,REG_06535,NA,BIM – Digital Building Model Data from a Facility Management Perspective,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1062,11,REG_06223,10.1007/s11227-024-06276-6,A real-time approach for smart building operations prediction using rule-based complex event processing and SPARQL query,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),IoT; outra tecnologia: intelligent building; outra tecnologia: smart building,sim
1063,11,REG_07508,10.33430/v30n2thie-2022-0061,First of its kind in Hong Kong - innovative reuse of treated effluent and enhanced energy efficiency for air-conditioning systems,2023,gestao_predial_sustentabilidade_geral,,,sim
1064,11,REG_06899,10.1007/s44242-022-00008-w,Carbon emissions from buildings based on a life cycle analysis: carbon reduction measures and effects of green building standards in China,2023,gestao_predial_contexto_publico_universitario,,,sim
1065,11,REG_07228,10.1080/15623599.2020.1858539,Framework to evaluate quality performance of green building delivery: construction and operational stage,2023,gestao_predial_sustentabilidade_geral,,,sim
1066,11,REG_06498,10.1007/978-981-99-7965-3_2,"BIM, IoT, and Big Data Integration Framework in the Green Building Industry",2024,gestao_predial_com_tecnologia_aplicada,,BIM; IoT,sim
1067,11,REG_06930,10.1108/k-04-2022-0623,"Fuzzy gray clustering evaluation of green building operation effect: a case study of Shenzhen Bay One, China",2023,gestao_predial_sustentabilidade_geral,,,sim
1068,11,REG_06488,10.1016/j.enbuild.2023.113810,A study of deep learning-based multi-horizon building energy forecasting,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),Digital Twin; Data-driven,sim
1069,11,REG_06562,10.1007/978-3-031-48461-2_2,BIM-FM Integration Tools: Comparative Analysis,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1070,11,REG_07229,10.1504/ijcat.2023.135590,Green building development for a sustainable environment with artificial intelligence technology,2023,gestao_predial_sustentabilidade_geral,,,sim
1071,11,REG_07135,10.1108/ijbpa-04-2019-0038,Green maintainability assessment of building-integrated photovoltaic (BIPV) applications: lessons learnt,2023,gestao_predial_sustentabilidade_geral,,,sim
1072,11,REG_06384,10.1016/j.joclim.2024.100410,A “Whole of system approach” to develop environmental sustainability in a Singapore Healthcare System,2024,gestao_predial_com_decisao_multicriterio,ANP,,sim
1073,11,REG_06164,10.1108/jfm-04-2022-0038,BIM-FM in existing buildings: a case study on educational and high-rise residential buildings,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1074,11,REG_07543,10.1088/1755-1315/1281/1/012058,"How many trees are required to offset the CO2 emissions from building operations? A case study of energy efficiency initiatives in Wisma R&D, Universiti Malaya building",2023,gestao_predial_sustentabilidade_geral,,,sim
1075,11,REG_06898,10.1051/e3sconf/202345702026,Human resource management as an element of sustainable nuclear power plant construction,2023,gestao_predial_sustentabilidade_geral,,,sim
1076,11,REG_06559,10.1016/b978-0-323-90386-8.00161-3,Sustainable Urban Facilities Management,2024,gestao_predial_biossistemica_conceitual,,,sim
1077,11,REG_06108,10.1016/j.jobe.2024.111126,BIM-based optimization approach to reduce life cycle costs by focusing on the integration of construction and operation phases in office-commercial buildings,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1078,11,REG_07526,NA,IMPLEMENTING SUSTIANABILITY IN THE INTERNATIONAL AIRPORT OF SHARM EL-SHAIKH,2023,gestao_predial_sustentabilidade_geral,,,sim
1079,11,REG_08626,10.3390/su15032211,Combining CAD Modeling and Simulation of Energy Performance Data for the Retrofit of Public Buildings,2023,gestao_predial_contexto_publico_universitario,,,sim
1080,11,REG_06393,10.1016/j.gsd.2024.101109,Application of a decision support system for monitoring and maintenance management of water valley tank facilities: A technological transformation toward sector sustainability,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
1081,11,REG_07451,10.1177/11786302231190988,Impact of Human Management of Hand-Dug Well Facility and Its Accessories on Groundwater Quality,2023,gestao_predial_sustentabilidade_geral,,,sim
1082,11,REG_06339,10.37934/ard.117.1.3443,Best Practices in Facilities Management to Rectify Office Building Performance Issues in Malaysia: Insights From Facilities Management Team,2024,gestao_predial_com_tecnologia_aplicada,,outra tecnologia: predictive maintenance,sim
1083,11,REG_07468,NA,Impact of Passive Design Techniques on Building Performance in Improving Thermal Comfort in a Hot and Dry Climatic Zone,2023,gestao_predial_sustentabilidade_geral,,,sim
1084,11,REG_06275,10.17341/gazimmfd.1398232,Appropriate port selection for floating based offshore wind farms with MCDM Methods: The Case of Türkiye,2024,gestao_predial_com_decisao_multicriterio,BWM,,sim
1085,11,REG_07110,10.1007/s12553-023-00755-1,Implementation of a decentralised maintenance model with a measurable impact on the functionality and availability of medical equipment in healthcare facilities in Burundi,2023,gestao_predial_sustentabilidade_geral,,,sim
1086,11,REG_06646,10.1109/dtpi61353.2024.10778884,Build Digital Twins for Smart Upgrading of Thermal Power Plants: A Practical Framework,2024,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin,sim
1087,11,REG_07533,10.1109/pcic43643.2023.10414311,Improving the Bottom Line: How Gas-Insulated Substations can Offer Operational & Maintenance Cost Savings for Petrochemical Facilities,2023,gestao_predial_sustentabilidade_geral,,,sim
1088,11,REG_09192,10.1016/j.rineng.2024.103551,Assessment of dispute causes in government building maintenance projects through adjusted importance rating and risk mapping,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
1089,11,REG_07373,10.1016/j.autcon.2022.104648,In-situ observation and calibration in building digitalization: Comparison of intrusive and nonintrusive approaches,2023,gestao_predial_sustentabilidade_geral,,,sim
1090,11,REG_06528,10.1016/j.procs.2024.06.207,Building Execution Plan as an effective document for Building Information Modelling,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1091,11,REG_07240,10.1049/icp.2023.1739,Innovative VS. traditional: A framework to assess the sustainable trade-off of maintenance strategies,2023,gestao_predial_sustentabilidade_geral,,,sim
1092,11,REG_07683,10.1016/j.jobe.2023.106396,"Comparative study of greenhouse gas emission calculations and the environmental impact in the life cycle assessment of buildings in China, Finland, and the United States",2023,gestao_predial_contexto_publico_universitario,,,sim
1093,11,REG_06929,10.1016/j.energy.2023.129308,Investigation of system optimization and control logic on a solar geothermal hybrid heat pump system based on integral effect test data,2023,gestao_predial_sustentabilidade_geral,,,sim
1094,11,REG_06729,10.3389/fbuil.2024.1404934,Asset maintenance in Australian commercial buildings,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),Data-driven,sim
1095,11,REG_06499,10.1016/b978-0-323-90386-8.00109-1,Building Information Modeling and Building Performance Optimization,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1096,11,REG_07231,10.22441/sinergi.2023.1.011,Key success factors analysis for improving cost performance of green retrofit infrastructure on the jetty project,2023,gestao_predial_sustentabilidade_geral,,,sim
1097,11,REG_07076,NA,"MANAGEMENT OF PUBLIC FACILITIES FOR BUDDHIST TEMPLES IN BAN NA SAN DISTRICT, SURAT THANI PROVINCE",2023,gestao_predial_sustentabilidade_geral,,,sim
1098,11,REG_06380,10.3390/app14103977,Building Information Modelling Facility Management (BIM-FM),2024,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin,sim
1099,11,REG_06492,10.1007/978-3-031-74716-8_1,The Ecological Footprint to Measure the Environmental Sustainability of Buildings: A Case Study,2024,gestao_predial_biossistemica_conceitual,,,sim
1100,11,REG_06867,10.1007/978-3-031-49920-3_7,Axiomatic Design Facilitating Integrated Building Design and Operation,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
1101,12,REG_07990,10.1007/978-3-031-14767-8_4,Maintainability of Buildings’ Envelope,2023,gestao_predial_sustentabilidade_geral,,,sim
1102,12,REG_07348,10.1109/edm58354.2023.10225198,Maintenance Optimization Within the Lifecycle Management of the Gas Compressor's Electric Motors,2023,gestao_predial_sustentabilidade_geral,,,sim
1103,12,REG_06161,10.1016/j.jobe.2024.110943,Building automation and control systems for office buildings: Technical insights for effective facility management - A literature review,2024,gestao_predial_com_tecnologia_aplicada,,outra tecnologia: predictive maintenance,sim
1104,12,REG_07267,10.1088/1755-1315/1176/1/012026,Maintenance and Climate Impact - A Study of the Practice for Private Rented Out Housing Estates,2023,gestao_predial_sustentabilidade_geral,,,sim
1105,12,REG_07670,10.36680/j.itcon.2024.050,"BIM, GIS AND BI TOOLS FOR A UNIVERSITY ASSET MANAGEMENT SYSTEM SUPPORTING SPACE MANAGEMENT, OCCUPANCY EVALUATION AND OPTIMIZATION STRATEGIES",2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM; IoT; Data-driven,sim
1106,12,REG_07371,10.1088/1755-1315/1176/1/012017,Delivery of healthcare facility management services: A literature review,2023,gestao_predial_contexto_publico_universitario,,,sim
1107,12,REG_07500,10.1016/j.autcon.2022.104636,Maintenance robot for remote assembly of protective jackets on live gas risers,2023,gestao_predial_sustentabilidade_geral,,,sim
1108,12,REG_06466,10.1007/s13762-023-05272-2,Building sustainability assessment model based on life cycle cost analysis and BIM technology,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1109,12,REG_06945,10.3390/land12112020,Managing Facilities in Historic Buildings: A Stewardship-Based Strategy for Long-Term Socio-economic Value,2023,gestao_predial_sustentabilidade_geral,,,sim
1110,12,REG_06306,10.1007/s00521-023-08907-0,BIM-FM integrated solution resourcing to digital techniques,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM,sim
1111,12,REG_07147,10.3390/rs15082204,Mapping and Influencing the Mechanism of CO2 Emissions from Building Operations Integrated Multi-Source Remote Sensing Data,2023,gestao_predial_sustentabilidade_geral,,,sim
1112,12,REG_06443,10.26599/jic.2024.9180008,"Built environment defect mapping, modeling, and management (D3M): A BIM-based integrated framework",2024,gestao_predial_com_tecnologia_aplicada,,BIM; Data-driven,sim
1113,12,REG_07094,10.3390/su15129204,Medical Gas Systems Maintainability Risks in Healthcare Facilities: A Design Optimization Approach,2023,gestao_predial_sustentabilidade_geral,,,sim
1114,12,REG_07258,10.1108/f-11-2022-0149,Municipal facilities managers as strategists,2023,gestao_predial_sustentabilidade_geral,,,sim
1115,12,REG_06666,NA,"CIEES 2024 - IEEE International Conference on Communications, Information, Electronic and Energy Systems",2024,gestao_predial_com_tecnologia_aplicada,,IoT,sim
1116,12,REG_06247,10.1108/sasbe-11-2022-0250,BIM-IoT-FM integration: strategy for implementation of sustainable water management in buildings,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM; IoT,sim
1117,12,REG_07043,10.3390/buildings13082024,Net-Zero Energy Consumption Building in China: An Overview of Building-Integrated Photovoltaic Case and Initiative toward Sustainable Future Development,2023,gestao_predial_sustentabilidade_geral,,,sim
1118,12,REG_06969,10.1016/j.jobe.2023.107419,Development and application of a framework for managing school buildings: A case study in New Zealand,2023,gestao_predial_contexto_publico_universitario,,,sim
1119,12,REG_07141,10.1108/f-03-2022-0051,Norwegian stakeholder's attitudes towards EU taxonomy,2023,gestao_predial_sustentabilidade_geral,,,sim
1120,12,REG_06305,10.5130/ajceb.v24i3.8738,Challenges in Implementation of 7D-BIM for Infrastructure Asset Management: A Systematic Review,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1121,12,REG_06519,10.3850/978-981-18-5184-1_ms-14-064-cd,Understanding the Impact of the Operational Faults on Building Energy Performance,2024,gestao_predial_biossistemica_conceitual,,,sim
1122,12,REG_06288,10.1002/bate.202400004,BIM-based assessment of sustainable maintenance measures for existing building structures: Resource-efficient maintenance of buildings based on digital building models,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM,sim
1123,12,REG_07177,NA,Occupant Aspects of Building Energy Codes And Standards,2023,gestao_predial_sustentabilidade_geral,,,sim
1124,12,REG_07287,10.1201/9781003176985-5,Occupant-Centric Performance Metrics and Performance Targets,2023,gestao_predial_sustentabilidade_geral,,,sim
1125,12,REG_06335,10.1108/pm-02-2023-0017,Challenges in implementing building information modelling for facility management in government buildings in Thailand,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1126,12,REG_07466,10.1088/1755-1315/1267/1/012092,Operation And Maintenance Of Cengklik Reservoir In Supporting Integrated Water Resources Management,2023,gestao_predial_sustentabilidade_geral,,,sim
1127,12,REG_06639,10.1016/j.procs.2024.09.004,Bridge BIM Dynamic Temperature Sensing Identification and Operation and Maintenance Technology,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM,sim
1128,12,REG_06971,10.1051/e3sconf/202343106022,Organizational and technological aspects of information modeling in the system of operation of capital construction projects,2023,gestao_predial_sustentabilidade_geral,,,sim
1129,12,REG_06279,10.1051/e3sconf/202456210006,Closing the gap between theoretical models and real-time measurements - The SmartTune initiative,2024,gestao_predial_com_tecnologia_aplicada,,Digital Twin,sim
1130,12,REG_07318,10.1088/1755-1315/1176/1/012045,Overcoming sustainability barriers in facilities management by a project management framework for project governance,2023,gestao_predial_sustentabilidade_geral,,,sim
1131,12,REG_07944,10.3390/buildings14113645,Building Condition Auditing (BCA)—Improving Auditability—Reducing Ambiguity,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
1132,12,REG_07205,10.3390/math11030497,Partial Least Squares Structural Equation Modeling of Constraint Factors Affecting Project Performance in the Egyptian Building Industry,2023,gestao_predial_sustentabilidade_geral,,,sim
1133,12,REG_07946,10.1016/j.jobe.2024.109394,Data-driven prediction of natural period for existing RC high-rise buildings using probabilistic machine learning methods,2024,gestao_predial_com_tecnologia_aplicada,,Data-driven,sim
1134,12,REG_07277,10.1088/1755-1315/1176/1/012014,Discussion of digital transition impact on the facility management sector applied to healthcare buildings.,2023,gestao_predial_contexto_publico_universitario,,,sim
1135,12,REG_07554,NA,Passive design and shape optimization for carbon emissions reduction for residential-and-commercial buildings in cold climate zone,2023,gestao_predial_sustentabilidade_geral,,,sim
1136,12,REG_06745,10.1080/23744731.2023.2290976,Deployment of real-time building automation system-integrated inverse-model-based fault detection and diagnostics algorithms,2024,gestao_predial_com_tecnologia_aplicada,,Data-driven,sim
1137,12,REG_07264,10.1080/09613218.2023.2216795,Path dependencies and sustainable facilities management: a study of housing companies in Sweden,2023,gestao_predial_sustentabilidade_geral,,,sim
1138,12,REG_06583,10.1007/978-3-031-77197-2,Building Tomorrow: Unleashing the Potential of Artificial Intelligence in Construction,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),Data-driven,sim
1139,12,REG_07388,10.1088/1755-1315/1176/1/012037,Planned maintenance vs Unplanned maintenance and facility costs,2023,gestao_predial_sustentabilidade_geral,,,sim
1140,12,REG_06557,10.1088/1755-1315/1376/1/012004,"Digital Evolution in AEC industry: Bridging BIM, Building Codes, and Future Technologies",2024,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin; IoT,sim
1141,12,REG_07447,10.3390/buildings13010201,Policy Framework for Prefabricated Buildings in Underdeveloped Areas: Enlightenment from the Comparative Analysis of Three Types of Regions in China,2023,gestao_predial_sustentabilidade_geral,,,sim
1142,12,REG_07656,10.1016/j.enbuild.2024.114080,Building renovation plan - introducing energy and cost into the managerial perspectives: A case study,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
1143,12,REG_07230,NA,A Comparative Study of Green and Living Buildings,2023,gestao_predial_biossistemica_conceitual,,,sim
1144,12,REG_07551,10.12688/f1000research.141399.1,Potential business model for a European vaccine R&D infrastructure and its estimated socio-economic impact,2023,gestao_predial_sustentabilidade_geral,,,sim
1145,12,REG_06283,10.3390/su16156348,Digital Trio: Integration of BIM–EIR–IoT for Facilities Management of Mega Construction Projects,2024,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin; IoT,sim
1146,12,REG_07486,10.1016/j.enbuild.2022.112650,Practical differences in operating buildings across countries and climate zones: Perspectives of building managers/operators,2023,gestao_predial_sustentabilidade_geral,,,sim
1147,12,REG_07379,10.1155/2023/2592322,Effectiveness Study of Artificial Intelligent Facility System in Maintaining Building Fire Safety (Case Study: Typical Public Building Cases of Fire-Fighting Facilities Management in China),2023,gestao_predial_contexto_publico_universitario,,,sim
1148,12,REG_08003,10.1109/icsh57060.2023.10482839,Preservation and Conservation of National Museum of Ras Al Khaimah collection and its sustainability for future generations accessibility,2023,gestao_predial_sustentabilidade_geral,,,sim
1149,12,REG_07953,10.3390/buildings14061630,Complex Building’s Decision Support Method Based on Fuzzy Signatures †,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
1150,12,REG_06477,10.3390/buildings14020376,Digital Twin Approach in Buildings: Future Challenges via a Critical Literature Review,2024,gestao_predial_com_tecnologia_aplicada,,Digital Twin; IoT,sim
1151,12,REG_07150,10.1177/1420326x221137699,Program for propriety analysis of global warming potential caused by the operational energy consumption of buildings in Korea,2023,gestao_predial_sustentabilidade_geral,,,sim
1152,12,REG_07458,10.1080/13607863.2022.2098910,Promoting meaningful engagement for residents living with dementia through intergenerational programs: a pilot study,2023,gestao_predial_sustentabilidade_geral,,,sim
1153,12,REG_06162,10.1016/j.enbuild.2024.114746,Digital twin (DT) and extended reality (XR) for building energy management,2024,gestao_predial_com_tecnologia_aplicada,,Digital Twin,sim
1154,12,REG_07967,10.1007/978-3-031-48461-2_9,Complex Framework for Condition Assessment of Residential Buildings,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
1155,12,REG_06911,10.1038/s41598-023-29142-6,Propriety assessment model for life cycle operational global warming potential of apartment buildings in Korea using energy efficiency and energy effective area data,2023,gestao_predial_sustentabilidade_geral,,,sim
1156,12,REG_07109,10.1007/s44150-023-00081-0,Prototypical approach for an individualized standardization process in the context of intelligent construction and automation,2023,gestao_predial_sustentabilidade_geral,,,sim
1157,12,REG_06623,10.11918/202306009,Digital twin and its applications in civil engineering: Review and outlook,2024,gestao_predial_com_tecnologia_aplicada,,Digital Twin,sim
1158,12,REG_07467,10.1016/j.anucene.2022.109501,Pyroprocessing unit cost estimation for a commercial facility using PRIDE actual costs in Korea,2023,gestao_predial_sustentabilidade_geral,,,sim
1159,12,REG_06150,10.2478/fhort-2024-0014,Connecting college students with nature: An evaluation indicator system for the implementation of horticultural therapy programmes on university campuses,2024,gestao_predial_com_decisao_multicriterio,AHP,,sim
1160,12,REG_09469,10.3390/buildings13030796,Heuristic Approach for Net-Zero Energy Residential Buildings in Arid Region Using Dual Renewable Energy Sources,2023,gestao_predial_contexto_publico_universitario,,,sim
1161,12,REG_07329,10.1109/sieds58326.2023.10137787,Quantifying the Benefits of Mindful Driving Training in Safety and Sustainability,2023,gestao_predial_sustentabilidade_geral,,,sim
1162,12,REG_06237,10.1061/9780784485606.ch7,Digital twin applications for building energy and carbon performance,2024,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin; IoT; outra tecnologia: intelligent building; outra tecnologia: smart building,sim
1163,12,REG_06900,10.3992/jgb.18.1.119,REDUCING CARBON EMISSIONS BY USING PREFABRICATED DECORATION FLOOR SYSTEMS,2023,gestao_predial_sustentabilidade_geral,,,sim
1164,12,REG_06123,10.1016/j.apenergy.2024.124080,Continuous model calibration framework for smart-building digital twin: A generative model-based approach,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),Digital Twin; outra tecnologia: smart building,sim
1165,12,REG_07553,10.3846/enviro.2023.892,RENEWABLE AND NON-RENEWABLE PRIMARY ENERGY FACTORS FOR LITHUANIAN A++ BUILDINGS’ HEATING,2023,gestao_predial_sustentabilidade_geral,,,sim
1166,12,REG_07006,10.4271/2023-01-1512,"A Multi-Dimensional Benefit Assessment of Automated Mobility Platforms (AMP) for Large Facilities: Mobility, Energy, Equity, and Facility Management & Design",2023,gestao_predial_biossistemica_conceitual,,,sim
1167,12,REG_06882,10.1108/ecam-08-2024-1024,Digital twin for sustainable development in building automation,2024,gestao_predial_com_tecnologia_aplicada,,Digital Twin,sim
1168,12,REG_07103,10.1049/esi2.12092,Reducing carbon emissions and energy costs in multi-building facilities: A Co-optimisation approach,2023,gestao_predial_sustentabilidade_geral,,,sim
1169,12,REG_07339,10.1109/itoec57671.2023.10291774,Research on Application Ecological Architecture Technology of Digital Substation System,2023,gestao_predial_sustentabilidade_geral,,,sim
1170,12,REG_06664,10.1109/dasa63652.2024.10836648,Decision Support for Building Thermal Comfort Monitoring with a Sustainable GenAI System,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM; Data-driven,sim
1171,12,REG_06353,10.1016/j.autcon.2024.105368,"Digital twins in the built environment: Definition, applications, and challenges",2024,gestao_predial_com_tecnologia_aplicada,,Digital Twin,sim
1172,12,REG_07219,NA,STRUCTURAL MODEL OF GREEN CLEANING COMPONENTS FOR GREEN BUILDINGS,2023,gestao_predial_sustentabilidade_geral,,,sim
1173,12,REG_07184,10.3390/su15054240,Impact of COVID-19 Pandemic on Energy Consumption in Office Buildings: A Case Study of an Australian University Campus,2023,gestao_predial_contexto_publico_universitario,,,sim
1174,12,REG_07172,10.3390/buildings13030785,Service Life Prediction of Painted Renderings Using Maintenance Data through Regression Techniques,2023,gestao_predial_sustentabilidade_geral,,,sim
1175,12,REG_06636,10.4108/ew.5654,Embedded Highway Health Maintenance System Based on Digital Twin Superposition Model,2024,gestao_predial_com_tecnologia_aplicada,,Digital Twin,sim
1176,12,REG_06531,10.1061/9780784485231.059,Decision-Making Framework for Implementing Blockchain in Building Operations and Maintenance (O&M),2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
1177,12,REG_07998,NA,Smart and Sustainable Technologies for Disaster Resilient Infrastructure,2023,gestao_predial_sustentabilidade_geral,,,sim
1178,12,REG_07118,10.1145/3576914.3587523,Software Introspection for Signaling Social-Cyber Operations,2023,gestao_predial_sustentabilidade_geral,,,sim
1179,12,REG_06307,10.1177/01436244241239290,Empowering smart cities with digital twins of buildings: Applications and implementation considerations of data-driven energy modelling in building management,2024,gestao_predial_com_tecnologia_aplicada,,Digital Twin; Data-driven; outra tecnologia: smart building,sim
1180,12,REG_07292,10.1088/1755-1315/1176/1/012022,Sustainable Facility Management in un Development Goals,2023,gestao_predial_sustentabilidade_geral,,,sim
1181,12,REG_07958,10.1061/9780784485231.051,Developing Digital Twin Data Structure and Integrated Cloud Digital Twin Architecture for Roads,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM; Digital Twin,sim
1182,12,REG_07535,10.1007/978-3-031-46109-5_4,Sustainable Renovation on Aosta Residential Building for Carbon Neutrality,2023,gestao_predial_sustentabilidade_geral,,,sim
1183,12,REG_06109,10.3390/buildings14123759,Evolving Trends and Innovations in Facilities Management Within Higher Education Institutions,2024,gestao_predial_com_tecnologia_aplicada,,BIM; outra tecnologia: smart campus,sim
1184,12,REG_07555,10.1007/978-3-031-29515-7_15,Sustainable Workplace: Space Planning Model to Optimize Environmental Impact,2023,gestao_predial_sustentabilidade_geral,,,sim
1185,12,REG_06268,10.3390/su16188245,Digital Transformation in the Construction Sector: A Digital Twin for Seismic Safety in the Lifecycle of Buildings,2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),Digital Twin,sim
1186,12,REG_07295,10.2749/newdelhi.2023.0898,Sustainable facade constructions,2023,gestao_predial_sustentabilidade_geral,,,sim
1187,12,REG_07117,10.4995/vitruvio-ijats.2023.18804,"A reckoning with the maintenance of the built environment, a Sisyphean task",2023,gestao_predial_biossistemica_conceitual,,,sim
1188,12,REG_06250,10.1016/j.asej.2024.102897,Exploring the knowledge system in building information modeling (BIM) technology for medical construction projects (MCPS): A bibliometric analysis and prospective direction,2024,gestao_predial_com_tecnologia_aplicada,,BIM; outra tecnologia: smart building,sim
1189,12,REG_07084,NA,Implementing NACE Competencies in LEED Lab to Prepare a Career-Ready Workforce,2023,gestao_predial_contexto_publico_universitario,,,sim
1190,12,REG_07056,10.1063/5.0147122,Sustainable maintenance strategy for historic buildings at Masjid Al Osmani Medan Labuhan,2023,gestao_predial_sustentabilidade_geral,,,sim
1191,12,REG_07297,NA,THE IMPACT OF ABSENT AGENTS ON ROLES AND RESPONSIBILITIES IN THE LIFECYCLE OF TERTIARY SECTOR BUILDINGS,2023,gestao_predial_sustentabilidade_geral,,,sim
1192,12,REG_06345,10.1177/03611981231208908,"Digital Twin Framework for Bridge Structural Health Monitoring Utilizing Existing Technologies: New Paradigm for Enhanced Management, Operation, and Maintenance",2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),BIM; Digital Twin,sim
1193,12,REG_06710,10.1108/sasbe-05-2024-0193,Exploring the significance and priority of digital product passports implementation in building renovation projects targeting circular economy,2024,gestao_predial_com_tecnologia_aplicada,,Data-driven,sim
1194,12,REG_07475,NA,THE SIGNIFICANCE OF MATURITY MODEL TO EMPOWER THE MAINTENANCE MANAGEMENT TOWARDS SUSTAINABLE PERFORMANCE OF PUBLIC FACILITIES IN MALAYSIA,2023,gestao_predial_sustentabilidade_geral,,,sim
1195,12,REG_06974,10.1063/5.0133075,The Challenges of Maintenance Work in The University of Sierra Leone,2023,gestao_predial_sustentabilidade_geral,,,sim
1196,12,REG_07955,10.3390/heritage7030068,From 3D Point Cloud to an Intelligent Model Set for Cultural Heritage Conservation,2024,gestao_predial_com_tecnologia_aplicada,,BIM,sim
1197,12,REG_06230,10.3390/smartcities7050101,"Digital Twin Technology in Built Environment: A Review of Applications, Capabilities and Challenges",2024,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),Digital Twin; IoT; Data-driven; outra tecnologia: predictive maintenance,sim
